,Open_Time,Open,High,Low,Close,Volume,MA_9,MA_27,20sma,sDev,LowerBandBB,UpperBandBB,H-L,H-PC,L-PC,TR,ATR_20,UpperBandKCLow,LowerBandKCLow,UpperBandKCMid,LowerBandKCMid,UpperBandKCHigh,LowerBandKCHigh,preSqueeze,originalSqueeze,extrSqueeze,preSqueezeIn,preSqueezeOut,originalSqueezeIn,originalSqueezeOut,extrSqueezeIn,extrSqueezeOut,squeeze,max_high,min_low,MA_20,K,x,y,x2,xy,momo,val,dir,momentum,ACTION,Trigger
0,20210519 22:55:00,0.9922,1.001,0.98,0.9893,5163.919790165002,,,,,,,0.020999999999999908,,,,,,,,,,,False,False,False,,,,,,,,,,,,0,,0,,,,,,,
1,20210519 22:56:00,0.9925,1.0095,0.9893,0.9989,17090.700245663225,,,,,,,0.020200000000000107,0.020200000000000107,0.0,0.020200000000000107,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,1,,1,,,,,,NO,NO
2,20210519 22:57:00,0.9982,1.0065,0.9966,1.0038,3801.49126197,,,,,,,0.009899999999999909,0.00759999999999994,0.0022999999999999687,0.009899999999999909,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,2,,4,,,,,,NO,NO
3,20210519 22:58:00,1.0041,1.01,0.9996,1.0032,7119.6008257362,,,,,,,0.010399999999999965,0.006199999999999983,0.0041999999999999815,0.010399999999999965,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,3,,9,,,,,,NO,NO
4,20210519 22:59:00,1.0075,1.0193,1.0075,1.0188,5865.488067882586,,,,,,,0.011800000000000033,0.016100000000000003,0.0042999999999999705,0.016100000000000003,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,4,,16,,,,,,NO,NO
5,20210519 23:00:00,1.0188,1.0188,0.9845,0.9879,18545.406434473774,,,,,,,0.034299999999999886,0.0,0.034299999999999886,0.034299999999999886,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,5,,25,,,,,,NO,NO
6,20210519 23:01:00,0.9865,0.9961,0.9593,0.9908,27691.24864012381,,,,,,,0.036799999999999944,0.008199999999999985,0.02859999999999996,0.036799999999999944,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,6,,36,,,,,,NO,NO
7,20210519 23:02:00,0.9902,0.9902,0.9785,0.9833,11009.96789193,,,,,,,0.011699999999999933,0.0006000000000000449,0.012299999999999978,0.012299999999999978,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,7,,49,,,,,,NO,NO
8,20210519 23:03:00,0.9774,0.9831,0.9666,0.9695,9069.54369551,0.9888600524192761,,,,,,0.01649999999999996,0.00019999999999997797,0.016699999999999937,0.016699999999999937,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,8,,64,,,,,,NO,NO
9,20210519 23:04:00,0.9724,0.9753,0.9666,0.9687,2476.303276777449,0.9843430303879216,,,,,,0.00869999999999993,0.005799999999999916,0.0029000000000000137,0.00869999999999993,,,,,,,,False,False,False,False,False,False,False,False,False,green,,,,,9,,81,,,,,,NO,NO
