,symbol,name,baseCurrency,quoteCurrency,feeCurrency,market,baseMinSize,quoteMinSize,baseMaxSize,quoteMaxSize,baseIncrement,quoteIncrement,priceIncrement,priceLimitRate,isMarginEnabled,enableTrading
0,REQ-ETH,REQ-ETH,REQ,ETH,ETH,ALTS,1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
1,REQ-BTC,REQ-BTC,REQ,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
2,NULS-ETH,NULS-ETH,NULS,ETH,ETH,ALTS,0.1,0.0001,10000000000,99999999,0.000001,0.0000001,0.0000001,0.1,False,True
3,NULS-BTC,NULS-BTC,NULS,BTC,BTC,BTC,0.1,0.00001,10000000000,99999999,0.000001,0.00000001,0.00000001,0.1,False,True
4,CVC-BTC,CVC-BTC,CVC,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
5,NEBL-BTC,NEBL-BTC,NEBL,BTC,BTC,BTC,0.01,0.00001,10000000000,99999999,0.000001,0.00000001,0.00000001,0.1,False,True
6,SNT-ETH,SNT-ETH,SNT,ETH,ETH,ALTS,1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
7,SNT-BTC,SNT-BTC,SNT,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
8,PPT-ETH,PPT-ETH,PPT,ETH,ETH,ALTS,0.01,0.0001,10000000000,99999999,0.000001,0.0000001,0.0000001,0.1,False,True
9,PPT-BTC,PPT-BTC,PPT,BTC,BTC,BTC,0.01,0.00001,10000000000,99999999,0.000001,0.00000001,0.00000001,0.1,False,True
10,BCHSV-BTC,BSV-BTC,BSV,BTC,BTC,BTC,0.001,0.00001,10000000000,99999999,0.00000001,0.00000001,0.000001,0.1,True,True
11,POWR-BTC,POWR-BTC,POWR,BTC,BTC,BTC,0.1,0.00001,10000000000,99999999,0.000001,0.00000001,0.00000001,0.1,False,True
12,POWR-ETH,POWR-ETH,POWR,ETH,ETH,ALTS,0.1,0.0001,10000000000,99999999,0.000001,0.0000001,0.0000001,0.1,False,True
13,BCD-BTC,BCD-BTC,BCD,BTC,BTC,BTC,0.01,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
14,BCD-ETH,BCD-ETH,BCD,ETH,ETH,ALTS,0.01,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
15,KNC-ETH,KNC-ETH,KNC,ETH,ETH,DeFi,0.1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
16,KNC-BTC,KNC-BTC,KNC,BTC,BTC,DeFi,0.1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
17,DACC-BTC,DACC-BTC,DACC,BTC,BTC,BTC,100,0.00001,10000000000,99999999,0.0001,0.00000001,0.0000000001,0.1,False,True
18,OMG-ETH,OMG-ETH,OMG,ETH,ETH,ALTS,0.01,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
19,OMG-BTC,OMG-BTC,OMG,BTC,BTC,BTC,0.01,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,True,True
20,CHSB-BTC,CHSB-BTC,CHSB,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
21,CHSB-ETH,CHSB-ETH,CHSB,ETH,ETH,ALTS,1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
22,MANA-BTC,MANA-BTC,MANA,BTC,BTC,NFT,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
23,BTM-BTC,BTM-BTC,BTM,BTC,BTC,BTC,0.1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
24,AMB-ETH,AMB-ETH,AMB,ETH,ETH,ALTS,1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
25,MANA-ETH,MANA-ETH,MANA,ETH,ETH,NFT,1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
26,AMB-BTC,AMB-BTC,AMB,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
27,BTM-ETH,BTM-ETH,BTM,ETH,ETH,ALTS,0.1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
28,ETN-BTC,ETN-BTC,ETN,BTC,BTC,BTC,10,0.00001,10000000000,99999999,0.01,0.00000001,0.0000000001,0.1,False,True
29,DGB-BTC,DGB-BTC,DGB,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
30,DGB-ETH,DGB-ETH,DGB,ETH,ETH,ALTS,1,0.0001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
31,QTUM-BTC,QTUM-BTC,QTUM,BTC,BTC,BTC,0.01,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
32,AION-ETH,AION-ETH,AION,ETH,ETH,ALTS,0.1,0.0001,10000000000,99999999,0.000001,0.0000001,0.0000001,0.1,False,True
33,AION-BTC,AION-BTC,AION,BTC,BTC,BTC,0.1,0.00001,10000000000,99999999,0.000001,0.00000001,0.00000001,0.1,False,True
34,WTC-BTC,WTC-BTC,WTC,BTC,BTC,BTC,0.01,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
35,ENJ-BTC,ENJ-BTC,ENJ,BTC,BTC,NFT,0.1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
