Symbol,Sector
CRSR,Wallstreetbets 
RKT,Wallstreetbets 
UVXY,Wallstreetbets 
SNDL,Wallstreetbets 
TSLA,Wallstreetbets 
AMC,Wallstreetbets 
PLTR,Wallstreetbets 
TLRY,Wallstreetbets 
GME,Wallstreetbets 
ZOM,Wallstreetbets 
ICLN,Wallstreetbets 
AMD,Wallstreetbets 
NIO,Wallstreetbets 
SLV,Wallstreetbets 
AAPL,Wallstreetbets 
CGC,Wallstreetbets 
BB,Wallstreetbets 
QS,Wallstreetbets 
MVIS,Wallstreetbets 
EBON,Wallstreetbets 
MARA,Wallstreetbets 
ACB,Wallstreetbets 
OGI,Wallstreetbets 
OCGN,Wallstreetbets 
SKT,Wallstreetbets 
APHA,Wallstreetbets 
